Month,Price
01-10-97,378.4104683
01-11-97,365.5598245
01-12-97,364.1001817
01-01-98,365.8189593
01-02-98,372.1841593
01-03-98,375.8689537
01-04-98,393.0432266
01-05-98,388.2276914
01-06-98,397.0569229
01-07-98,400.2774607
01-08-98,390.3975437
01-09-98,395.0581124
01-10-98,402.8858489
01-11-98,400.7256418
01-12-98,399.0605559
01-01-99,392.3416979
01-02-99,392.3371968
01-03-99,390.1551272
01-04-99,388.2280129
01-05-99,380.1372836
01-06-99,362.4093752
01-07-99,356.3833652
01-08-99,358.6728182
01-09-99,370.5788738
01-10-99,434.1019499
01-11-99,409.0661823
01-12-99,395.7509605
01-01-00,398.1121096
01-02-00,420.4591123
01-03-00,401.3480798
01-04-00,392.412108
01-05-00,389.031138
01-06-00,410.5502596
01-07-00,405.3903901
01-08-00,403.2031765
01-09-00,403.7777099
01-10-00,402.3833331
01-11-00,400.1012748
01-12-00,408.006816
01-01-01,397.2511132
01-02-01,391.6568875
01-03-01,394.2511293
01-04-01,391.8141045
01-05-01,410.834472
01-06-01,408.385873
01-07-01,405.4800907
01-08-01,412.7104667
01-09-01,434.1578922
01-10-01,437.0144839
01-11-01,426.1562204
01-12-01,424.9656791
01-01-02,437.4745607
01-02-02,462.5955278
01-03-02,460.7944444
01-04-02,476.0541418
01-05-02,495.4429566
01-06-02,505.5807224
01-07-02,491.1746266
01-08-02,484.694327
01-09-02,497.0340958
01-10-02,492.2863986
01-11-02,495.018567
01-12-02,513.6978154
01-01-03,549.9156044
01-02-03,550.9257801
01-03-03,521.6184674
01-04-03,499.8906875
01-05-03,538.4133618
01-06-03,535.2783449
01-07-03,521.7821146
01-08-03,531.3295931
01-09-03,558.620091
01-10-03,552.9715305
01-11-03,570.63353
01-12-03,596.5000723
01-01-04,604.6374202
01-02-04,589.3095632
01-03-04,588.5559503
01-04-04,569.6002058
01-05-04,558.2336393
01-06-04,574.1823267
01-07-04,589.3069912
01-08-04,596.7363802
01-09-04,600.6603758
01-10-04,618.9081615
01-11-04,637.2726542
01-12-04,625.1023197
01-01-05,596.5312585
01-02-05,594.4880801
01-03-05,609.4140531
01-04-05,603.6307811
01-05-05,589.8927773
