Month,Price
01-10-97,31.52
01-11-97,31.21
01-12-97,28.63
01-01-98,26.76
01-02-98,31.91
01-03-98,29.23
01-04-98,30.53
01-05-98,31.49
01-06-98,29.57
01-07-98,29.76
01-08-98,27.78
01-09-98,28.91
01-10-98,30.91
01-11-98,30.51
01-12-98,28.51
01-01-99,30.18
01-02-99,29.3
01-03-99,27.16
01-04-99,25.21
01-05-99,25.66
01-06-99,25.88
01-07-99,24.67
01-08-99,24.34
01-09-99,23.51
01-10-99,28.25
01-11-99,32.11
01-12-99,28.27
01-01-00,27.87
01-02-00,32.27
01-03-00,29.64
01-04-00,30.55
01-05-00,30.34
01-06-00,29.94
01-07-00,29.11
01-08-00,30.16
01-09-00,30.29
01-10-00,30.59
01-11-00,29.47
01-12-00,28.99
01-01-01,28.39
01-02-01,27.91
01-03-01,26.57
01-04-01,27.14
01-05-01,28.62
01-06-01,29.14
01-07-01,28.29
01-08-01,27.8
01-09-01,27.63
01-10-01,25.93
01-11-01,24.48
01-12-01,23.48
01-01-02,27.55
01-02-02,30.19
01-03-02,32.66
01-04-02,32.78
01-05-02,34.3
01-06-02,41.13
01-07-02,40.47
01-08-02,41.79
01-09-02,43.11
01-10-02,40.15
01-11-02,40.53
01-12-02,40.92
01-01-03,43.62
01-02-03,47.26
01-03-03,50.5
01-04-03,47.38
01-05-03,47.08
01-06-03,48.12
01-07-03,46.23
01-08-03,48.23
01-09-03,50.89
01-10-03,59.01
01-11-03,58.27
01-12-03,57.44
01-01-04,56.36
01-02-04,57.95
01-03-04,59.87
01-04-04,60.19
01-05-04,61.08
01-06-04,62.36
01-07-04,58.94
01-08-04,57
01-09-04,57.16
01-10-04,58.15
01-11-04,55.49
01-12-04,51.9
01-01-05,51.63
01-02-05,55.03
01-03-05,57.67
01-04-05,57.3
01-05-05,59.15
01-06-05,63.64
01-07-05,73.58
01-08-05,69.8
01-09-05,74.66
01-10-05,76.2
01-11-05,73.16
01-12-05,76.71
01-01-06,83.47
01-02-06,91.32
01-03-06,92.06
01-04-06,96.19
01-05-06,111.25
01-06-06,124.35
01-07-06,115.21
01-08-06,101.46
01-09-06,83.48
01-10-06,82.75
01-11-06,72.67
01-12-06,77.22
01-01-07,92.23
01-02-07,100.69
01-03-07,98.18
01-04-07,97.79
01-05-07,96.68
01-06-07,90.9
01-07-07,84.07
01-08-07,86.13
01-09-07,87.13
01-10-07,92.07
01-11-07,97.81
01-12-07,97.81
01-01-08,103.16
01-02-08,110.85
01-03-08,112.6
01-04-08,113.69
01-05-08,128.48
01-06-08,137.88
01-07-08,137.08
01-08-08,125.81
01-09-08,128.95
01-10-08,93.39
01-11-08,80.86
01-12-08,58.37
01-01-09,72.77
01-02-09,71.86
01-03-09,73.32
01-04-09,81.12
01-05-09,82.02
01-06-09,79.78
01-07-09,84.89
01-08-09,99.54
01-09-09,105.11
01-10-09,109.79
01-11-09,118.29
01-12-09,130.56
01-01-10,141.91
01-02-10,145
01-03-10,151.96
01-04-10,175.77
01-05-10,167.98
01-06-10,166.24
01-07-10,153.27
01-08-10,154.6
01-09-10,162.51
01-10-10,174.12
01-11-10,193.42
01-12-10,214.55
01-01-11,250.52
01-02-11,284.55
01-03-11,243.84
01-04-11,259.66
01-05-11,229.86
01-06-11,221.12
01-07-11,210.08
01-08-11,211.9
01-09-11,217.16
01-10-11,199.91
01-11-11,170.83
01-12-11,177.93
01-01-12,185.96
01-02-12,196.65
01-03-12,197.77
01-04-12,198.92
01-05-12,202.68
01-06-12,179.3
01-07-12,171.02
01-08-12,155.01
01-09-12,165.86
01-10-12,169.47
01-11-12,162.52
01-12-12,169.86
01-01-13,179.23
01-02-13,171.44
01-03-13,162.08
01-04-13,156.06
01-05-13,167.3
01-06-13,163.9
01-07-13,153.04
01-08-13,162.45
01-09-13,168.14
01-10-13,155.93
01-11-13,156.14
01-12-13,158.59
01-01-14,145.4
01-02-14,135.16
01-03-14,139.61
01-04-14,129.77
01-05-14,119.87
01-06-14,121.81
01-07-14,120.13
01-08-14,113.27
01-09-14,101.68
01-10-14,100
01-11-14,101.15
01-12-14,100.96
01-01-15,103.14
01-02-15,112.89
01-03-15,108.66
01-04-15,106.68
01-05-15,117.41
01-06-15,116.23
01-07-15,104.38
01-08-15,94.35
01-09-15,89.39
01-10-15,86.55
01-11-15,81.9
01-12-15,84.58
01-01-16,82.77
01-02-16,86.67
01-03-16,97.9
01-04-16,113.66
01-05-16,109.02
01-06-16,100.25
01-07-16,106.87
01-08-16,103.75
01-09-16,104.78
01-10-16,110.82
01-11-16,126.28
01-12-16,151.41
01-01-17,174.36
01-02-17,181.85
01-03-17,154.9
01-04-17,142.58
01-05-17,135.28
01-06-17,110.83
01-07-17,112.77
01-08-17,117.7
01-09-17,119.9
01-10-17,106.74
